PKHD1L1	58	467	66	459	1.155343	0.295478
SLC12A9	40	485	47	478	1.187841	0.295466
TNN	26	499	32	493	1.237067	0.295375
NPAP1	26	499	32	493	1.237067	0.295375
PDE3A	27	498	33	492	1.229064	0.289831
SIGLEC11	16	509	21	504	1.306931	0.288648
OR4C13	16	509	21	504	1.306931	0.288648
INSL3	16	509	21	504	1.306931	0.288648
ZRSR2	8	517	12	513	1.455685	0.284816
SNRNP200	8	517	12	513	1.455685	0.284816
RBAK	8	517	12	513	1.455685	0.284816
MAZ	8	517	12	513	1.455685	0.284816
ANKRD30B	8	517	12	513	1.455685	0.284816
MCPH1	28	497	34	491	1.221615	0.284587
INTS1	29	496	35	490	1.214664	0.279618
RP1L1	95	430	104	421	1.117076	0.275259
MUC16	135	390	145	380	1.101706	0.274734
XIRP2	47	478	54	471	1.162827	0.272577
NLRP12	18	507	23	502	1.275714	0.272566
DNAH3	69	456	77	448	1.134139	0.271680
SLC24A4	9	516	13	512	1.410916	0.270407
QSOX2	9	516	13	512	1.410916	0.270407
PBX2	9	516	13	512	1.410916	0.270407
NRXN1	9	516	13	512	1.410916	0.270407
MASP2	9	516	13	512	1.410916	0.270407
GNPTAB	9	516	13	512	1.410916	0.270407
SSPO	99	426	108	417	1.113469	0.270331
BDP1	48	477	55	470	1.159842	0.269746
MST1	19	506	24	501	1.262450	0.265448
ALOX15	19	506	24	501	1.262450	0.265448
ZNF257	3	522	6	519	1.760096	0.262272
TRPV6	3	522	6	519	1.760096	0.262272
SPOCK2	3	522	6	519	1.760096	0.262272
SLC27A6	3	522	6	519	1.760096	0.262272
SERPINB7	3	522	6	519	1.760096	0.262272
PREPL	3	522	6	519	1.760096	0.262272
PPM1E	3	522	6	519	1.760096	0.262272
PI15	3	522	6	519	1.760096	0.262272
LTBP3	3	522	6	519	1.760096	0.262272
KCTD11	3	522	6	519	1.760096	0.262272
FSHR	3	522	6	519	1.760096	0.262272
FAM189A2	3	522	6	519	1.760096	0.262272
CHRNB4	3	522	6	519	1.760096	0.262272
ATP5A1	3	522	6	519	1.760096	0.262272
ARC	3	522	6	519	1.760096	0.262272
SPATA31C1	20	505	25	500	1.250451	0.258851
KIAA1524	20	505	25	500	1.250451	0.258851
TM4SF20	10	515	14	511	1.374290	0.257903
SLC4A11	10	515	14	511	1.374290	0.257903
FOXD4L3	10	515	14	511	1.374290	0.257903
DISP3	10	515	14	511	1.374290	0.257903
CARD14	10	515	14	511	1.374290	0.257903
KIR3DL1	53	472	60	465	1.146598	0.256895
GREB1	35	490	41	484	1.181100	0.254490
SPTBN2	21	504	26	499	1.239545	0.252715
PAPPA2	21	504	26	499	1.239545	0.252715
RYR1	36	489	42	483	1.176569	0.250939
EPX	22	503	27	498	1.229590	0.246990
EPHB6	22	503	27	498	1.229590	0.246990
COL6A2	22	503	27	498	1.229590	0.246990
USP17L7	11	514	15	510	1.343770	0.246927
TSPO2	11	514	15	510	1.343770	0.246927
PTCHD4	11	514	15	510	1.343770	0.246927
MYBPC2	11	514	15	510	1.343770	0.246927
KIAA1549L	11	514	15	510	1.343770	0.246927
DMGDH	11	514	15	510	1.343770	0.246927
ABTB2	11	514	15	510	1.343770	0.246927
ZNF142	23	502	28	497	1.220465	0.241635
TNS2	23	502	28	497	1.220465	0.241635
PCK1	23	502	28	497	1.220465	0.241635
LRP1B	39	486	45	480	1.164345	0.241145
UEVLD	4	521	7	518	1.609249	0.237584
TRIM49B	4	521	7	518	1.609249	0.237584
TMEM168	4	521	7	518	1.609249	0.237584
SLC34A1	4	521	7	518	1.609249	0.237584
PCDH10	4	521	7	518	1.609249	0.237584
MAGEF1	4	521	7	518	1.609249	0.237584
LRRC23	4	521	7	518	1.609249	0.237584
FOXD4L6	4	521	7	518	1.609249	0.237584
EDN3	4	521	7	518	1.609249	0.237584
DHCR24	4	521	7	518	1.609249	0.237584
BCL11B	4	521	7	518	1.609249	0.237584
TXNRD2	12	513	16	509	1.317949	0.237199
TNR	12	513	16	509	1.317949	0.237199
